tool,id,status,outcome,outputBytes,outputSha256,errorCode
into-0.0.4-off,6f5b2fcddb93324d,success,complete,402,c4b2abe133bfcf0a422b4f112cceff99600cee0f425a8d2e3c997a0cfd97f9eb,
into-0.0.4-off,a88db8f621cbd94e,success,complete,402,c4b2abe133bfcf0a422b4f112cceff99600cee0f425a8d2e3c997a0cfd97f9eb,
into-0.0.4-off,00ad47f8f06c06e8,failed,failed,0,,malformed
into-0.0.4-off,11a4a894e835edd6,failed,failed,0,,malformed
into-0.0.4-off,14f68451417df205,failed,failed,0,,malformed
into-0.0.4-off,23ccd1647ab3d169,failed,failed,0,,malformed
into-0.0.4-off,33d146722c4d7ca6,success,degraded,11,934658445a56eabdf7ff4b6de7715ae60889b556de65226a42fbcd6b137a52eb,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,3b736f6ffc672109,success,degraded,35,6d50d949e70d7cc77c19282fcb8eb7d3095f8f1798319a3122fbda994315772d,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,3ff3d89a70d79330,failed,failed,0,,malformed
into-0.0.4-off,4b6403fd1a1ff4e0,failed,failed,0,,encrypted
into-0.0.4-off,51e935e095fb753b,failed,failed,0,,malformed
into-0.0.4-off,6e7ea92129594844,failed,failed,0,,encrypted
into-0.0.4-off,8f50ab64422f5782,success,degraded,11,934658445a56eabdf7ff4b6de7715ae60889b556de65226a42fbcd6b137a52eb,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,9301cdd9a5e36259,failed,failed,0,,malformed
into-0.0.4-off,d70d508f6641d0f7,failed,failed,0,,malformed
into-0.0.4-off,d9f65b1943a0b8cc,success,degraded,11,934658445a56eabdf7ff4b6de7715ae60889b556de65226a42fbcd6b137a52eb,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,db6954914fbea369,failed,failed,0,,malformed
into-0.0.4-off,ebd73747aa00697d,failed,failed,0,,malformed
into-0.0.4-off,087d6eae43454484,success,degraded,78,7302432c033169a193b76ede1aeed9d14c391fc8b9c47598649f1e7e0fc4e5fd,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,19de523442fc17c2,success,degraded,11,934658445a56eabdf7ff4b6de7715ae60889b556de65226a42fbcd6b137a52eb,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,1e49e0417c76264e,success,degraded,83,10c1d798b4607446cb970e2d78b077ada52fe50b1ce48fde729106103ca7d8d4,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,28e3dce03598a103,success,degraded,110,00211bff1cc8cc53407d86ce201cddd8e69af671ce5d6b0c98b714cee9dd4b24,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,333875fd34c563d3,success,degraded,11,934658445a56eabdf7ff4b6de7715ae60889b556de65226a42fbcd6b137a52eb,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,4c625b5a1c519be9,success,degraded,23,d7e14d73d0771d6062a6aaf9aed7c87c76c7e88089099537d4ebe0c094fe4d40,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,617622df878a13f5,success,degraded,65,871ef7c55a301d91e1d3d184a37c990c9335b20155eb4da85f7af3ffa2d473cb,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,8994aa18058b30e0,success,degraded,11,934658445a56eabdf7ff4b6de7715ae60889b556de65226a42fbcd6b137a52eb,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,8a14ce7b770bb1ba,success,degraded,11,934658445a56eabdf7ff4b6de7715ae60889b556de65226a42fbcd6b137a52eb,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,9009609e77d640ea,success,degraded,11,934658445a56eabdf7ff4b6de7715ae60889b556de65226a42fbcd6b137a52eb,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,b5d730ca9210a5f8,failed,failed,0,,encrypted
into-0.0.4-off,d02ccbdf9777a524,failed,failed,0,,malformed
into-0.0.4-off,d2a2db9afc64f308,success,degraded,159,4f5f433cef6f80fec7f559b6be15a5c084126a681b86fba386cf2690f3d9d85f,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,deea3c2ff6680127,success,degraded,81,812bc9a1d7de2d8d3bb35bca1075c8a4ac224022c6d33a117f292e1593993b87,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,ead4fc0001a27460,failed,failed,0,,malformed
into-0.0.4-off,f4a1548cdccf0ec5,success,degraded,23,d7e14d73d0771d6062a6aaf9aed7c87c76c7e88089099537d4ebe0c094fe4d40,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,0411028ae697bfa3,failed,failed,0,,malformed
into-0.0.4-off,2512fc5378812f03,failed,failed,0,,malformed
into-0.0.4-off,2a387a0913e9e294,failed,failed,0,,malformed
into-0.0.4-off,3d07bf3d14a60b9e,success,degraded,232,94e1c1badba4864766c50a350a1f666850fd6188b45b35ed0d40edcca45f3efa,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,64567d60faba1023,success,degraded,79,789d9d07318a23696d390c26ab022756abf0c38401e9608798fed09d668a838e,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,7dde74c7dd41b8c5,success,degraded,152,542055f963ba6f0c19b0a5bebdf810e0b1bf2ebdcff08e0bfb8b0d1884490fd3,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,8330e8987cdf6dc1,failed,failed,0,,malformed
into-0.0.4-off,a923ae6c2debdc22,success,degraded,11,934658445a56eabdf7ff4b6de7715ae60889b556de65226a42fbcd6b137a52eb,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,b1836c7af32f083b,success,degraded,183,1c76040e96cef72656fbb8eab529eb707f4d581c73e18484bc89445a1a7f7499,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,c23aa12f560c4816,success,degraded,11,934658445a56eabdf7ff4b6de7715ae60889b556de65226a42fbcd6b137a52eb,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,c5a35458b2cdca31,success,degraded,69,d4835930325862f73486ed0f958409d9e8221141f99de1b11527fee70a07a961,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,d9d72c7d98007393,failed,failed,0,,malformed
into-0.0.4-off,db007922d189fd1a,success,degraded,35,6d50d949e70d7cc77c19282fcb8eb7d3095f8f1798319a3122fbda994315772d,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,e005d251f757935b,failed,failed,0,,malformed
into-0.0.4-off,e8e00220fc7f929a,failed,failed,0,,malformed
into-0.0.4-off,edada1835e78af61,failed,failed,0,,malformed
into-0.0.4-off,07c19fe8077c8296,failed,failed,0,,encrypted
into-0.0.4-off,0bf66aaf8d9a563a,success,degraded,103,35a0e357fa5d2a5512031a741409e80a06f3680ca200db4e8a0b020b928c8452,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,4003b7a7ac6368cb,success,degraded,55,1a31e35a8282a7c30a6af7ba78740af01c54b7f9d27c940f0acde6bcbab9f923,legacyOffice.ppt.imagePlacementRecovered
into-0.0.4-off,4a674c72e5dd5164,failed,failed,0,,malformed
into-0.0.4-off,561dd23257adc451,success,degraded,233,4448f2821023333c3feb2e6cf9be951ee3554a81ce582d2cb2c4cb80194bbf7e,legacyOffice.ppt.layoutPartiallyRecovered
