tool,id,relativePath,extension,sha256,status,processingDurationMs,outputBytes,errorCode
into-0.0.5-auto,7451b9d0883307c8,mixed/apache-tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/resources/test-documents/testPDF_Version.5.x.pdf,pdf,f8d03526aeb8281ce1a50b5ad2aa3e1a87a5ce7f4d8967bccfa55a19d86c448b,success,30.1353,35,
into-0.0.5-auto,7cab60c3d563b80f,mixed/apache-tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/resources/test-documents/testPDF-custommetadata.pdf,pdf,c6f5d857a87d8b8f2265265a1fb650df57b6fdad4d3b58cafefe6f42aaba4391,success,35.4644,50,
into-0.0.5-auto,9edb4eca9b63dc90,mixed/apache-tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/resources/test-documents/testPDF_JBIG2.pdf,pdf,a12b12ce2593ec4f04c8b6043ebca1ed588537323a3f43dd2ec48c7ae44f8495,success,707.5348,130,
into-0.0.5-auto,e85c2214c0d6a888,mixed/apache-tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/resources/test-documents/testPopupAnnotation.pdf,pdf,2b12f42f044fd4f1968265ffe71ed0a82ffbc9a7c7a8c68ca3932c374ccf3d33,success,32.9276,35,
into-0.0.5-auto,f0d3811bb38e2e7e,mixed/apache-tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/resources/test-documents/testPDF_diffTitles.pdf,pdf,1c38825b892ffdfb5395d7de1d8d3db50a8e586d45b8539738d606a6fa93582c,success,30.6302,35,
into-0.0.5-auto,f9bd64c8c29e3584,mixed/apache-tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/resources/test-documents/testPDF_PDFEncodedStringInXMP.pdf,pdf,382b386aee18b0407c000b017e66206fe3cb82c5b747a5a6169117688901408f,success,30.1902,109,
into-0.0.5-auto,1038e88e473c0cf4,mixed/apache-tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/resources/test-documents/testPDF-TIKA-4444.pdf,pdf,c99b9de35d6f6135028665007f2319790c7c01de20687b645dbfe435d19457a6,success,227.09550000000002,61871,
into-0.0.5-auto,223c3419f6a4b1bf,mixed/apache-tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/resources/test-documents/testPageNumber.pdf,pdf,f7a769a35ba90077d9e96c5bc3847b55235e70fe3e943a4d5aa84f26958598aa,success,33.5725,58,
into-0.0.5-auto,2c511dc3356f5b8a,pdf/simplified-chinese/scanned-official/ceracu-280-stamped-scan.pdf,pdf,2c55ac498630abba6a6496b5215d71cc7e159db7e558f488a7395fa25fc9abef,success,2229.2073,1846,ocr.lowConfidence
into-0.0.5-auto,3fa86af2156e8774,pdf/simplified-chinese/scanned-official/ceracu/ceracu-280-stamped-scan.pdf,pdf,2c55ac498630abba6a6496b5215d71cc7e159db7e558f488a7395fa25fc9abef,success,2215.9141999999997,1846,ocr.lowConfidence
into-0.0.5-auto,45ef5775ba85860f,mixed/apache-tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/resources/test-documents/testPDF.pdf,pdf,8035bc3f748d8b97b8a9978bd812197bf40cf2b294a7e9b30e39d7167ddc720e,success,48.384299999999996,3564,
into-0.0.5-auto,71147f930160c51f,mixed/apache-tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/resources/test-documents/testPDF_deeplyEmbeddedAttachments.pdf,pdf,7b6675ce19020d706bf3c4e8bc12c3d176009d730012804f8aaebe0f457832ff,success,48.4676,38,
into-0.0.5-auto,8068cfa2b1e1543d,mixed/apache-tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/resources/test-documents/testOCR.pdf,pdf,ca4e1851095ea410a7c5dbbfa064fef7c4b36da3ef0d49bddf29619e88b301de,success,579.5926000000001,58,
into-0.0.5-auto,824df5b05fbb0d4b,mixed/apache-tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/resources/test-documents/testPDF_rotated.pdf,pdf,24c68daac94b1f935cf1b1c08bb64f66098e596046ac62fea49e904a7551894e,success,38.837,3564,
into-0.0.5-auto,87c7056ceb9774a5,mixed/apache-tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/resources/test-documents/testPDFFileEmbInAnnotation.pdf,pdf,9825311c6eba48b5c6612a50c654458282075fdac9fa6a78a0d4030ccc0a3413,success,45.8203,86,
into-0.0.5-auto,9483c83046f479df,mixed/apache-tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/resources/test-documents/testPDF_acroform3.pdf,pdf,cc0cff1b91879bebb339b687b7efdb228c40154800ece83f2b1dad7134ee7ce4,success,54.4053,273,
into-0.0.5-auto,ac51b3574e9accd3,mixed/apache-tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/resources/test-documents/testPDF_incrementalUpdates.pdf,pdf,3e795587a3430b8fe4ed30c98065a00a8b09129247dfc70766e1b59ce07ec67c,success,481.81190000000004,65,
into-0.0.5-auto,bee34239a02e4140,mixed/apache-tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/resources/test-documents/testPDFPackage.pdf,pdf,9676f28b3a11d339309f5d18eb1aaf51458c3cbf422183650d577b74bd8e823c,success,496.8213,669,
into-0.0.5-auto,c5bf657e6ed5b211,mixed/apache-tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-integration-tests/src/test/resources/test-documents/testComment.pdf,pdf,4b3ca29653a45df68b01e60a688c45bf3fe8389ab712f2168cad354872378cb3,success,37.687900000000006,90,
into-0.0.5-auto,c97d3f46a613c997,mixed/apache-tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/resources/test-documents/testOptionalHyphen.pdf,pdf,336be0fb3c30d93a6f625c120f7e00b9419bccc2cc09a74a222f2c3f5869af7c,success,49.1751,51,
into-0.0.5-auto,da2b47ce108487da,mixed/apache-tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/resources/test-documents/testPDFTwoTextBoxes.pdf,pdf,b61a9f3ebbd959518c1b07e27ff89f8530f4671824ac2b6071d051d0d2a300d5,success,25.787399999999998,148,
into-0.0.5-auto,efcd4d66988349d5,pdf/internet-archive/gettysburgaddres00linc_bw.pdf,pdf,70b335fa6664e762122ca8e4282f264b44a9b13d7dc206e2fa4cc7626072c96d,success,10818.97,3624,ocr.lowConfidence
into-0.0.5-auto,07d1ea0d9e8026c4,mixed/apache-tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/resources/test-documents/testPDF_AdobeIllustrator.pdf,pdf,10d2fe976d01fea4bcdaa3c1953c182841a653907bc18d8a7e03e127ea1c0e50,success,48.1621,35,
into-0.0.5-auto,09d99041f575d5c9,mixed/apache-tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/resources/test-documents/testMicrosoftIRMServices.pdf,pdf,d2ff3a8cc84e0387792b86e490823851115387ffab340f599cc5ced338228fdc,success,33.729,384,
into-0.0.5-auto,14f94de85e3eb8a9,mixed/apache-tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/resources/test-documents/testPDFFileEmbInAnnotation_noContents.pdf,pdf,a667c1515735cabccb2d0edeee6cc47b037f8a2dc26a02a8486e02b229e800fa,success,26.216900000000003,35,
into-0.0.5-auto,269a07d29811b6f3,mixed/apache-tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/resources/test-documents/testPDF_bad_page_303226.pdf,pdf,da14d24dd22effebec987312abf0312750bdbbaf93f54c9aef3b9ec7041e40ba,success,304.1237,103155,
into-0.0.5-auto,48832c08d6fd6e64,pdf/simplified-chinese/scanned-official/ceracu/ceracu-270-stamped-scan.pdf,pdf,2b3163e86749e6572b46a7ecae6585fc071929a162a596ba2bcecb5f9275daed,success,1417.8953000000001,593,ocr.lowConfidence
into-0.0.5-auto,49724e0be6cb11ac,pdf/internet-archive/gettysburgaddres00linc.pdf,pdf,868ab78cad4df7d84f4b46744e4c0fd86542953107a90074854ce052957677c7,success,11818.358699999999,3624,ocr.lowConfidence
into-0.0.5-auto,4e42de2ba9533305,pdf/simplified-chinese/scanned-official/ceracu/ceracu-281-stamped-scan.pdf,pdf,21a451da2d243146f7e995c7d30875504f4d9da51b13be23776b899e33c08636,success,2139.9407,7437,ocr.lowConfidence
