tool,id,extension,scored,reason,textRecall,orderRecall,sectionRecall,tableRecallProxy,clean,qualityScore
into-0.0.4-off,43ebc3e0fc3a3dbc,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,4adedc311719dfa9,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,5f1df9c47e8347f9,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,5f64c23fe4d4ebc8,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,709ec5804c94a618,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,70a9db06e1ce3740,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,95715c9a6869a3fe,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,a15949882049b10e,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,cab5b8df9b4c6da8,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,ed58eeb1e6f3815a,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,f467e28da02eab5d,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,faa895edd22b6e45,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,0136915d61d4aac8,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,04753821ddc08e49,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,13cb17a0ed9e712b,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,17f92ef4ad43b607,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,4bc8b94767f72f8a,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,53794037a9f5d393,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,5ba9889f9e88f4a4,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,63cf8546781e1368,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,806d908d4f3f1af6,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,8de2c2b3831025fd,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,a5e005d472465c97,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,c34a160c8b4343af,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,c9e469fda5634d01,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,ed43637c0a12a7bd,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,f813763b71594e99,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,fe2b3c5be5038b75,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,0330d6d0cab6f3a8,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,5721b34c70e774cf,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,5dc989adae9e0978,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,781f55312f393b39,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,79c7937a137424b3,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,7f16bf70cc885c48,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,8148270006805bb0,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,90ee0ca82e6fb478,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,947581ba533d3f5f,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,a030f0e57b0b0817,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,b9c5e7d5d0a7ca0b,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,c6bc6dc8bedc0abe,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,cb1d93f57fd5f91c,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,d92533f86b007be0,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,eec0c67324ab43a5,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,f62b82139cbb2fbb,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,05b1de4b3e72ad58,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,0d6f74a1e8a19969,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,2f19bdee7f9de354,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,3e98288a1399e44e,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,538bac340ab84aa5,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,53e0f7090533270e,doc,False,no-independent-text-reference,,,,,,
